epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.2317863556280667,0.28375178165816417,0.9457243193248542,0.9457960193087216,0.935173161356025,0.9571029175843276,0.9460109665198851,0.989941632333144
2,0.11642893248282406,0.2372274462241027,0.9557199426150181,0.9555108755775445,0.9875115264888786,0.9225415553909244,0.9539215723962224,0.9956110744008994
3,0.07651172965651126,0.1449540470233249,0.9779713341851376,0.9779220946118239,0.985278427432208,0.9701571438187604,0.9776593195677219,0.9979398577327938
4,0.056037933079517696,0.12636581387065202,0.9801916611843374,0.980114444127857,0.9919989113210873,0.9679375180579416,0.9798205184078684,0.997900727186515
5,0.04087645673744104,0.1011318959576592,0.9858967488774139,0.9858817517673325,0.9880419767263383,0.9835167470773524,0.9857741686242806,0.998723882719691
6,0.03137730216731492,0.09230324011419935,0.9872268920639541,0.98721395315321,0.9890741456149929,0.9851735210681524,0.9871199800074363,0.9988512881436148
7,0.02316918866826815,0.09120127472803492,0.9879784975004894,0.9879682256194591,0.9894223191995507,0.9863483770833131,0.987882956892247,0.9987954211032848
8,0.01899305278253355,0.09296720889613792,0.9879141283514946,0.9878967005707596,0.9904743923048903,0.9851483855320117,0.9878042098282768,0.9985756516467444
9,0.016833204655759607,0.09407408855971106,0.9879230530735239,0.9879290890514789,0.9868382596042502,0.9888809468490665,0.9878585472640583,0.9982252112816012
10,0.015790270131684263,0.1016247277777898,0.9880137387105535,0.9879861099870686,0.9921779616598528,0.9836291331918242,0.9878850530929741,0.9984128149615741
