epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.541548715189905,0.415507539090542,0.9110629417112247,0.91104726659166,0.8947254075287193,0.9319091105629602,0.9129387958782919,0.9710359105079237
2,0.26906009218245175,0.36634501329190594,0.9316518574272653,0.9316364157437773,0.9147128784407436,0.9521875822117801,0.93307411133858,0.9844023474595689
3,0.21313826439734873,0.2898784344434225,0.9474905751980267,0.9474923364539964,0.9496719671437162,0.945148300283655,0.9474047338448398,0.9897234023958912
4,0.171493843540378,0.2950389503320172,0.9514731038797275,0.9514628725085564,0.9395792237152711,0.9650796917041965,0.9521587515894963,0.9917890593518837
5,0.1416994300042507,0.25859371056594355,0.9595070755254917,0.9595080596332088,0.9607715687650786,0.9581983215122019,0.9594832198376186,0.993924136338131
6,0.12446748145898386,0.23776196920007403,0.9612923301499171,0.9612922306869928,0.9612261838494517,0.9614246047973911,0.9613253840847257,0.9944580763427244
7,0.1095409490145892,0.24569949706680724,0.9628965829594367,0.9628972302641916,0.9637487087707693,0.9620357394957765,0.9628914622973,0.994113816482237
8,0.10322859357105209,0.24827607449916997,0.963840692336015,0.9638381964873868,0.9608336638031698,0.9671598939354079,0.9639863998958931,0.9941257690589187
9,0.09983813072716925,0.2583375425537285,0.9626908176198995,0.9626954666095067,0.968538691659529,0.9565081775487931,0.9624858424623582,0.993476905533121
10,0.09830037183526756,0.2693825397915919,0.9632476710882591,0.9632426345917535,0.9571761810359508,0.9699456523154745,0.9635186102179847,0.9927113162351949
