epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.30226068726770405,0.37449972038595086,0.923556352443115,0.9220848639431747,0.8896964156318345,0.9719981499069442,0.9290280865408367,0.9837074628543785
2,0.1626847802906453,0.26114166346710294,0.9495452884986701,0.9494218334669979,0.9486398818199198,0.9536094613687927,0.9511181801422811,0.991567537119989
3,0.12936648947120905,0.226806640625,0.958410894452234,0.9585246276798899,0.9641834527610612,0.9546667659869184,0.9594015100001897,0.9931209708543748
4,0.11081057085074766,0.2079276842948718,0.9644966899068537,0.9644202108341847,0.9641200835531669,0.9670144015631792,0.9655650736059825,0.9949225110109216
5,0.0894993281489934,0.24660943620904557,0.9641109112371276,0.9644590078515208,0.977052739953314,0.9526514770023577,0.9646978305246734,0.9932288739121728
6,0.07847593787898577,0.1924663141582087,0.9707843083808786,0.9708690857226363,0.9750675949174543,0.9679934154727017,0.9715176275719491,0.995534714261487
7,0.05944754162594518,0.20067041293847934,0.9719413183431758,0.9719309219942923,0.9731813412372604,0.9722835689465605,0.9727322479447443,0.9944343640964657
8,0.050957659022588274,0.21021678087718126,0.9714294247398374,0.9715630948048579,0.9772285399465823,0.9670289702225471,0.9721020016267508,0.9932634207012588
9,0.04907534975206264,0.20952937895076568,0.971994659612925,0.9720652643851595,0.9757714549709401,0.9696703315079437,0.9727113263359833,0.9933620575994383
10,0.04673083814602251,0.1916366185897436,0.9720341764949152,0.972094610198369,0.9754885755397883,0.9700446827117013,0.9727590127128672,0.9952668135345782
