epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.593362264240502,1.3880567259143013,0.5504572577042159,0.5629720265014692,0.9908510271016744,0.12718788163486758,0.22543802754630513,0.9530304212888865
2,0.37336413556889053,0.3609821036392945,0.9291188687674948,0.9287110386922314,0.9211461354203195,0.9429123302605231,0.9319021533398197,0.9821591577775826
3,0.23859467652175043,0.3854492720558133,0.928945304918793,0.9274994170783384,0.8939606684670565,0.9778475302823014,0.9340243646908818,0.9850583178690011
4,0.19458535463699628,0.38047015371975074,0.9418531799632422,0.9426405752994544,0.9700374758017708,0.9152222179312755,0.9418329506868093,0.9859621286474337
5,0.16198959457138706,0.33254489593283754,0.9459027860091256,0.9451817216492187,0.9278373919755422,0.970290328972817,0.9485891158508847,0.9891057813725377
6,0.14081475785012254,0.2658481292502502,0.9509895418826174,0.9516216364472085,0.9739177843779971,0.9296110988361898,0.9512487986869855,0.9903472475740023
7,0.12563421021802132,0.27026638158717703,0.9552446240795905,0.9549680111959186,0.9492113252190901,0.9646001115505463,0.9568438484586057,0.9907033852329314
8,0.1200717011983836,0.2593708510308634,0.9573612563808322,0.9572092215572547,0.9549558207503971,0.9625033158114986,0.9587147140708604,0.9913986966535563
9,0.11584722234811735,0.25243574250733486,0.9585664342495854,0.9585410797534842,0.9599983023017747,0.9594239636150227,0.9597110470302179,0.9917283802156021
10,0.11313762973500466,0.2633140153065866,0.9584654871706032,0.9588434337122284,0.9728089987157345,0.9456827342925499,0.9590540923596681,0.991832577576008
